id,name,brand,manufacturer,upc,ean,type,currency,price,priceMin,priceMax,orderable,ats,stockLevel,primaryCategoryId,shortDescription,longDescription,pageTitle,pageDescription,pageKeywords,variationAttributes,variantCount,imageCount,primaryImage,slug
25752235M,Checked Silk Tie,,,,,master,USD,29.99,,,false,0,0,mens-accessories-ties,This silk tie works well with a Commerce Cloud Store dress shirt and suit. It's perfect for any occasion.,This silk tie works well with a Commerce Cloud Store dress shirt and suit It's perfect for any occasion.,Checked Silk Tie,This silk tie works well with a Commerce Cloud Store dress shirt and suit. It's perfect for any occasion. ,,color=Cobalt|Navy|Yellow,3,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwe7f0e7d7/images/large/PG.949612424S.COBATSI.PZ.jpg,
25328702M,Washable Wool Classic Straight Skirt ,,,,,master,USD,89,,,false,0,0,womens-clothing-bottoms,Make way for this effortless straight skirt. Add a blouse or suit jacket to complete your look.,Make way for this effortless straight skirt. Add a blouse or suit jacket to complete your look.,Washable Wool Classic Straight Skirt ,Make way for this effortless straight skirt.  Add a blouse or suit jacket to complete your look.,,color=Black|Navy; size=4|6|8|10|12|14|16,14,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwc7b504f1/images/large/PG.10176157.JJ5AJXX.PZ.jpg,
25518769M,Straight Leg Pant,,,,,master,USD,47.99,,,true,687,687,womens-clothing-bottoms,Finding the perfect pant has never been easier. This straight leg pant with a button on the side and light stretch material is great for every day wear.,Finding the perfect pant has never been easier. This straight leg pant with a button on the side and light stretch material is great for every day wear.,Straight Leg Pant,Finding the perfect pant has never been easier. This straight leg pant with a button on the side and light stretch material is great for every day wear.,,color=Light Pewter Wash; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw91e77726/images/large/PG.10212867.JJ3XYXX.PZ.jpg,
25564454M,Classic Crop Pant,,,,,master,USD,69,,,true,700,700,womens-clothing-bottoms,"This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner","This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner",Classic Crop Pant,"This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner",,color=Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd910f8a7/images/large/PG.10232332.JJ169XX.PZ.jpg,
25564782M,Roll Up Cargo Pant,,,,,master,USD,47.99,,,true,1377,1377,womens-clothing-bottoms,Wear this as a pant or a capri! It's two pants-in-one.,Wear this as a pant or a capri! It's two pants-in-one.,Roll Up Cargo Pant,Wear this as a pant or a capri! It's two pants-in-one.,,color=Black|jungle green; size=4|6|8|10|12|14|16,14,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw8226aaef/images/large/PG.10224067.JJ169XX.PZ.jpg,
62516752M,Casual Spring Easy Jacket,,,,,master,USD,295,,,true,610,610,mens-clothing-jackets,This easy jacket can be worn as part of a more casual spring suit or on its own with jeans or shorts. Made in our cotton stretch fabric with a micro houndstooth pattern.,"66% cotton, 30% polyester, 4% elastane two-button closure front besom pockets dry clean only",Men's Casual Spring Easy Jacket,This easy jacket can be worn as part of a more casual spring suit or on its own with jeans or shorts. Made in our cotton stretch fabric with a micro houndstooth pattern.,,color=Gray; size=36|38|40|42|44|46|48,7,13,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw09b1ca95/images/large/B0374107_DL0_0.jpg,
25589534M,Floral Pencil Skirt,,,,,master,USD,99,,,true,671,671,womens-clothing-bottoms,Make way for this effortless skirt. Add a blouse or suit jacket to complete your look.,Make way for this effortless skirt. Add a blouse or suit jacket to complete your look.,Floral Pencil Skirt,Make way for this effortless skirt.  Add a blouse or suit jacket to complete your look.,,color=Surf Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa2672e9e/images/large/PG.10227989.JJ9TSA0.PZ.jpg,
82936941M,Modern Blazer,,,,,master,USD,495,,,true,93,93,mens-clothing-jackets,This modern sportcoat brings versatility to your blazer collection. Made in our wool silk end-on-end suiting.,"86% wool, 14% silk two-button double vented front welt pockets inside vertical pocket inside lining is half lined dry clean only",Men's Modern Blazzer,This modern sportcoat brings versatility to your blazer collection. Made in our wool silk end-on-end suiting.,,color=Black; size=36|38|40|42|44|46|48,7,10,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2ed12098/images/large/B0171103_BDA_0.jpg,
25564543M,Classic Crop Pant,,,,,master,USD,69,,,true,700,700,womens-clothing-bottoms,"This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner","This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner",Classic Crop Pant,"This classic crop pant, with a contour waist and pockets is a must for every wardrobe. It's perfect from day-to-dinner",,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw6ac1935b/images/large/PG.10232536.JJI15XX.PZ.jpg,
25592897M,Classic Pant,,,,,master,USD,99,,,true,700,700,womens-clothing-bottoms,Our best selling classic pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Our best selling classic pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Classic Pant,Our best selling classic pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,,color=Bone; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwd5a58f79/images/large/PG.10228301.JJ334XX.PZ.jpg,
25629003M,Side Button Pleated Skirt,,,,,master,USD,95.99,,,true,199,199,womens-clothing-bottoms,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look.,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look.,Side Button Pleated Skirt,Spring into a new season with this perfect side button smooth waist pleated skirt. Add a jacket or blouse for a perfect desk-to-dinner look.,,color=Black; size=4|10,2,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw255dda67/images/large/PG.10227169.JJ3WCXX.PZ.jpg,
25696881M,Floral Print Pencil Skirt.,,,,,master,USD,129,,,true,700,700,womens-clothing-bottoms,We updated our favorite pencil skirt with a floral print. Pencil skirts are always in style especially in a floral print.,We updated our favorite pencil skirt with a floral print. Pencil skirts are always in style especially in a floral print.,Floral Print Pencil Skirt.,We updated our favorite pencil skirt with a floral print. Pencil skirts are always in style especially in a floral print. ,,color=Ivory Multi; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw38efa2bd/images/large/PG.10247882.JJ5ABXX.PZ.jpg,
25696717M,Floral Black and White Dress.,,,,,master,USD,139,,,true,697,697,womens-clothing-dresses,We love this dress and so will you! This dress has a great fit and slits in the back to expose just a hint of back.,We love this dress and so will you! This dress has a great fit and slits in the back to expose just a hint of back.,Floral Black and White Dress.,We love this dress and so will you! This dress has a great fit and slits in the back to expose just a hint of back. ,,color=White & Black; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7fb37316/images/large/PG.10246334.JJ2DIXX.PZ.jpg,
25697530M,Double Breasted Sleeveless Button Down Blouse.,,,,,master,USD,74,,,true,400,400,womens-clothing-tops,Update your wardrobe with this ruffle sleeveless button down shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous,Update your wardrobe with this ruffle sleeveless button down shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous,Double Breasted Sleeveless Button Down Blouse.,Update your wardrobe with this ruffle sleeveless button down shirt. Add a new piece of Commerce Cloud Store jewelry and you will look fabulous ,,color=White; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw781eb9e1/images/large/PG.10245386.JJI15XX.PZ.jpg,
25697194M,Ribbed Cardigan.,,,,,master,USD,99,,,true,799,799,womens-clothing-tops,A perfect outfit solution is the Commerce Cloud Store cardigan!,A perfect outfit solution is the Commerce Cloud Store cardigan!,Ribbed Cardigan.,A perfect outfit solution is the Commerce Cloud Store cardigan! ,,color=Ivory|New Coral; size=S|M|L|XL,8,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwec784526/images/large/PG.10251573.JJ5AAXX.PZ.jpg,
25720115M,Classic Capri with Button Detail,,,,,master,USD,49,,,true,700,700,womens-clothing-bottoms,This capri is perfect for weekend wear! You will enjoy the button detail on the pockets.,This capri is perfect for weekend wear! You will enjoy the button detail on the pockets.,Classic Capri with Button Detail,This capri is perfect for weekend wear! You will enjoy the button detail on the pockets.,,color=Classic; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw1f38d6cd/images/large/PG.60114139.JJ523XX.PZ.jpg,
25589526M,Flat Front Pant,,,,,master,USD,114,,,true,600,600,womens-clothing-bottoms,"Classically designed, this pin striped pant is perfect to pair with a matching Commerce Cloud Store jacket!","Classically designed, this pin striped pant is perfect to pair with a matching Commerce Cloud Store jacket!",Flat Front Pant,"Classically designed, this pin striped pant is perfect to pair with a matching Commerce Cloud Store jacket!",,color=Fern Multi; size=4|6|8|12|14|16,6,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw2732774e/images/large/PG.10227969.JJ6NAA9.PZ.jpg,
25589795M,Long Pleated Skirt,,,,,master,USD,109,,,true,300,300,womens-clothing-bottoms,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,Long Pleated Skirt,Exceptionally feminine pleated skirt with elastic waist. Pair with a knit cardigan and pumps for a great career look.,,color=Black; size=S|M|XL,3,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw7ca3dad2/images/large/PG.10239110.JJ3WCXX.PZ.jpg,
25592300M,Cuffed Cargo Pant,,,,,master,USD,74,,,true,700,700,womens-clothing-bottoms,Our best selling cargo pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Our best selling cargo pant is a must have wardrobe completer. We love the way it looks with a great Commerce Cloud Store top!,Cuffed Cargo Pant,Our best selling cargo pant is a must have wardrobe completer.  We love the way it looks with a great Commerce Cloud Store top!,,color=White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw86c6e54b/images/large/PG.10226893.JJI15XX.PZ.jpg,
25590995M,Flat Front Slim Pant,,,,,master,USD,54.99,,,true,1400,1400,womens-clothing-bottoms,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,Flat Front Slim Pant,Our flat front slim pant is perfect for every occasion. With its smooth front and back it will flatter you from every angle.,,color=Black|Stone; size=4|6|8|10|12|14|16,14,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwa8d395ce/images/large/PG.10224316.JJ169XX.PZ.jpg,
25696701M,Pleated Flare Skirt.,,,,,master,USD,149,,,true,700,700,womens-clothing-bottoms,You will love this pleated flare skirt! It goes with everything!,You will love this pleated flare skirt! It goes with everything!,Pleated Flare Skirt.,You will love this pleated flare skirt! It goes with everything! ,,color=Black & White; size=4|6|8|10|12|14|16,7,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4314bbc4/images/large/PG.10245266.JJ3WWXX.PZ.jpg,
25697212M,Drape Neck Dress.,,,,,master,USD,119,,,true,393,393,womens-clothing-dresses,Look your best in this drape neck dress. Sure to turn heads!,Look your best in this drape neck dress. Sure to turn heads!,Drape Neck Dress.,Look your best in this drape neck dress. Sure to turn heads! ,,color=Black Multi; size=S|M|L|XL,4,6,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dwfc2c903f/images/large/PG.10251589.JJ3WDXX.PZ.jpg,
25720037M,Turquoise and Gold Bracelet,,,,,master,USD,38,,,false,0,0,womens-jewelry-bracelets,Pair with matching earring or necklace for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Pair with matching earring or necklace for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch.,Turquoise and Gold Bracelet,Pair with matching earring or necklace for a complete look. Each piece of jewelry will be shipped with a beautiful Commerce Cloud Store velvet gift pouch. ,,color=Gold,1,3,https://images.demandware.net/dw/image/v2/AAIA_PRD/on/demandware.static/-/Sites-apparel-m-catalog/default/dw4f16e527/images/large/PG.60119239.JJ887XX.PZ.jpg,
